Sentence,Tags,SentenceFrequency,EnglishTrans,EnglishFreq,SpanishTrans,SpanishFreq
" The list is rather voluptuously extensive "" de la gente que me ha brindado su apoyo "" who have told me "" over the past three years or so : go for it "" estaes tu voz .", Eng Eng Eng Eng Eng Eng Punct Spn Spn Spn Spn Spn Spn Spn Spn Spn Punct Eng Eng Eng Spn Punct Eng Eng Eng Eng Eng Eng Eng Punct Eng Eng Eng Punct Spn Spn Spn,,"The list is rather voluptuously extensive "" of people who have supported me "" over the past three years or so : go for it "" estaes tu voz .",,,
" For their incisive critiques "" their questions and their encouragement "" I am deeply grateful to the following friends and colleagues : Jack Abecassis "" Frances R. Aparicio "" Samuel G. Armistead "" Alicia Arrizón "" Diana Bellessi "" Emilie Bergmann "" Ksenija Bilbija "" Ivonne Bordelois "" Elaine S. Brooks "" Luis Cárcamo-Huechante "" Debra A. Castillo "" Hector Mario Cavallari "" Toni Clark "" Mary Coffey "" Grace Dávila-López "" María Donapetry "" Robert R. Ellis "" Adrianne Estill "" David William Foster "" Juan Carlos Galeano "" Alicia Garza "" Alicia Gaspar de Alba "" Rosemary Geisdorfer Feal "" Joshua and Peggy Golden "" Martha Goldin "" Deena J. González "" Verónica Grossi "" Lucía GuerraCunningham "" Andrea Gutiérrez "" Elizabeth R. Horan "" Lillian Kaiser "" Laura Klein "" Alicia Kozameh "" Josh Kun "" Wim Lindeque "" Tiffany Ana López "" Adelaida López-Mejía "" Gustavo Llarull "" Jorge Mariscal "" Francine Masiello "" Alistair McCartney "" Michael McGaha "" Tim Miller "" María Gabriela Mizraje "" Florence MoorheadRosenberg "" Francisca Noguerol "" Andrea Ostrov "" Cristina Piña "" Hilda Rais "" Lynn Rapaport "" Victor Richini "" John Carlos Rowe "" Emma Sepúlveda "" Ana María Shua "" Saúl Sosnowski "" Ilán Stavans "" Mónica Szurmuk "" Miguel Tinker Salas "" Daniel Torres "" Paulina Vinderman "" Margaret Waller "" Suzinn Lee Weiss "" Heather Williams "" Howard T. Young .", Eng Eng Eng Spn Punct Eng Eng Eng Eng Eng Punct Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Punct NamedEnt NamedEnt Punct NamedEnt Spn NamedEnt Punct NamedEnt Spn NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt Spn Punct NamedEnt Spn Spn Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct Eng Spn Punct NamedEnt NamedEnt Punct NamedEnt Spn NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Spn NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt Eng NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt Spn NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt Spn NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt Eng Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt Spn Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt Spn NamedEnt,,,,,
" The following former students at Pomona College have all read and given me invaluable feedback on múltiples versiones de estas crónicas "" and have been been closely involved with me in classes "" as research assistants "" y en la vida .", Eng Eng Eng Eng Eng NamedEnt NamedEnt Eng Eng Eng Eng Eng Spn Eng Eng Eng Spn Spn Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Eng Spn Eng Eng Punct Eng Eng Eng Punct Spn Spn Spn Spn,,"The following former students at Pomona College have all read and given me invaluable feedback on multiple versions of these chronicles "" and have been closely involved with me in classes "" as research assistants "" and in life .",,,
" Para todos "" gracias : Francisco Dueñas "" Tanya González ( Scripps College ) "" Gabriela Grannis "" Gregorio Houser "" Michael Kidd "" Annie Mascorro "" Clara S. Moon "" Anna A.I I Moore "" Marissa Muñoz "" Vickie Ramos "" Cristóbal Schraeder "" Alelí Stok "" Adam Teicholz "" Danilo Trisi "" Elizabeth “ Mia ” Vogel .", NamedEnt Spn Punct Spn Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt NamedEnt Punct NamedEnt Spn Eng NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct Spn NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt NamedEnt Punct NamedEnt Punct NamedEnt Punct NamedEnt,,"For all "" thank you : Francisco Dueñas "" Tanya González ( Scripps College ) "" Gabriela Grannis "" Gregorio Houser "" Michael Kidd "" Annie Mascorro "" Clara S. Moon "" Anna A.I I Moore "" Marissa Muñoz "" Vickie Ramos "" Cristóbal Schraeder "" Alelí Stok "" Adam Teicholz "" Danilo Trisi "" Elizabeth "" Mia "" Vogel .",,,
" I thank Elisabeth ( Echagüe ) Bonet and Chris Sadiq "" masajistas sin par in Buenos Aires and Claremont respectively .", Eng Eng NamedEnt Punct Spn Punct NamedEnt Eng NamedEnt NamedEnt Punct Spn Spn Spn Eng NamedEnt NamedEnt Eng NamedEnt Eng,,"I thank Elisabeth ( Echagüe ) Bonet and Chris Sadiq "" unparalleled masseurs in Buenos Aires and Claremont respectively .",,,
 Your healing hands keep my words flowing ., Eng Eng Eng Eng Eng Eng Eng,,Your healing hands keep my words flowing .,,,
" Slightly different versions of several of these crónicas were published in the following journals : “ ‘ Killer ’ Crónicas "" ” Letras FemeninasVII:2 ( 2001 ) "" 123–29 ; “ Crónicas chinescas "" ” Hispamérica:89 ( 2001 ) "" 87–94 ; “ Anniversary Crónica "" ” el andar(September 2002 ) "" 55–57 ; “ Axolotl Crónica "" ” Letras FemeninasIX:2 ( 2003 ) "" 185–189 ; “ Flora y Fauna Crónica "" ” Portal : Journal of Multidisciplinary International Studies ( January 2004 ) .", NamedEnt Eng Eng Eng Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng Punct Punct Punct NamedEnt Punct Spn Punct Punct Spn Spn Punct Spn Punct Punct Spn Punct Punct Spn Spn Punct Punct Spn Punct Spn Punct Punct Spn Punct Punct NamedEnt NamedEnt Punct Punct Spn NamedEnt Spn Punct Punct Spn Punct Punct Eng NamedEnt Punct Punct Spn Spn Punct Spn Punct Punct Spn Punct Punct NamedEnt Spn Spn NamedEnt Punct Punct Spn Punct Eng Eng NamedEnt Eng NamedEnt Punct NamedEnt Spn Punct,,"Slightly different versions of several of these chronicles were published in the following journals : "" ' Killer ' Chronicles "" "" Letras FemeninasVII:2 ( 2001 ) "" 123-29 ; "" Crónicas chinescas "" "" Hispamérica:89 ( 2001 ) "" 87-94 ; "" Anniversario Crónica "" "" el andar(September 2002 ) "" 55-57 ; "" Axolotl Crónica "" "" Letras FemeninasIX:2 ( 2003 ) "" 185-189 ; "" Flora y Fauna Crónica "" "" "" Portal : Journal of Multidisciplinary International Studies ( January 2004 ) .",,,
 I am grateful to have been invited to present/perform various chapters of this book while it was very much a work in progress ., Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Spn Eng Eng Eng,,I am grateful to have been invited to present/perform various chapters of this book while it was very much a work in progress .,,,
" For giving me this opportunity I thank Tiffany A. López "" who organized the conference “ Revolution & Resistance : The State of Chicana/o Art & Activism at the University of California "" Lado del Río in February 2003 I also thank Isabel Durán "" Ana Antón-Pacheco and Félix Martín for inviting me to present at the Universidad Complutense of Madrid and also in Victoria ( Spain ) in April 2003 I am grateful to Ksenija Bilbija "" who invited me to give two lectures on Argentine and Chicana poetry at the University of Wisconsin–Madison in March 2004 Thanks to her support—and that of Raphael Kadushin—I also perfomed from Killer Crónicas .", Eng Eng Spn Eng Eng Eng Eng NamedEnt Spn NamedEnt Punct Eng Eng Eng Eng Punct NamedEnt Punct Eng Punct Eng NamedEnt Eng Spn Eng Punct NamedEnt Eng Eng Eng Eng NamedEnt Punct NamedEnt Spn Spn Eng NamedEnt Spn Eng Eng Eng NamedEnt NamedEnt Punct NamedEnt Spn Eng NamedEnt NamedEnt Eng Eng Spn Eng Eng Eng Eng NamedEnt NamedEnt Eng NamedEnt Eng Eng Eng NamedEnt Punct NamedEnt Punct Eng NamedEnt Spn Eng Eng Eng Eng NamedEnt NamedEnt Punct Eng Eng Spn Eng Eng Eng Spn Eng NamedEnt Eng Spn Spn Eng Eng Eng Eng NamedEnt Eng NamedEnt Spn Eng Eng Eng Eng Eng Eng NamedEnt NamedEnt Eng Eng Eng NamedEnt Spn,,"For giving me this opportunity I thank Tiffany A. López "" who organized the conference "" Revolution & Resistance : The State of Chicana/o Art & Activism at the University of California "" Lado del Río in February 2003 I also thank Isabel Durán "" Ana Antón-Pacheco and Félix Martín for inviting me to present at the Universidad Complutense of Madrid and also in Victoria ( Spain ) in April 2003 I am grateful to Ksenija Bilbija "" who invited me to give two lectures on Argentine and Chicana poetry at the University of Wisconsin-Madison in March 2004 Thanks to her support-and that of Raphael Kadushin-I also perfomed from Killer Crónicas .",,,
" Mil gracias to Ilán Stavans "" by whose invitation I was featured as a writer at the International Conference on Spanglish at Amherst College in April 2004 I thank the National Endowment for the Humanities for its financial support .", Spn Spn Eng NamedEnt NamedEnt Punct Eng Eng Eng Eng Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng NamedEnt Eng NamedEnt NamedEnt Eng NamedEnt Spn Eng Eng Eng Eng NamedEnt Eng Eng Eng Eng Eng Eng Eng,,"Mil gracias to Ilán Stavans "" by whose invitation I was featured as a writer at the International Conference on Spanglish at Amherst College in April 2004 I thank the National Endowment for the Humanities for its financial support .",,,
